date,product_id,product,category,quantity_sold,expiry_date,unit_price,discount,discount_price,total,shelf_life,holiday,event,temperature_min,temperature_max,temperature_mean,rain_mm,snowfall_cm
2024-12-21,PN015,Cheese,Dairy,9,21-12-2024,2.5,30%,1.75,15.75,21,0,1,11.9,4.9,9.9,0.0,0.0
2024-12-20,PN039,Red Wine,Beverages,3,20-12-2027,10.5,0%,10.5,31.5,1095,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN039,Red Wine,Beverages,18,20-12-2027,10.5,0%,10.5,189.0,1095,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN048,Turkey,Meat,6,03-01-2025,1.99,0%,1.99,11.94,14,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN011,Cabbage,Vegetables,16,30-12-2024,1.29,0%,1.29,20.64,10,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN045,Spinach,Vegetables,14,30-12-2024,1.39,0%,1.39,19.46,10,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN001,Apples,Fruits,10,25-12-2024,0.6,5%,0.57,5.7,10,0,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN034,Pasta,Staples,6,25-12-2024,1.45,5%,1.38,8.28,365,1,1,10.4,8.1,4.3,0.0,0.0
2024-12-20,PN043,Soft Drinks,Beverages,9,22-12-2024,3.4,15%,2.89,26.01,240,0,0,10.4,8.1,4.3,0.0,0.0
2024-12-19,PN012,Canned Soup,Staples,16,19-12-2026,2.13,0%,2.13,34.08,730,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN014,Charcoal,Non-Food,13,19-12-2026,1.75,0%,1.75,22.75,730,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN034,Pasta,Staples,1,19-12-2025,1.45,0%,1.45,1.45,365,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN023,Eggs,Dairy,3,09-01-2025,0.21,0%,0.21,0.63,21,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN001,Apples,Fruits,14,29-12-2024,0.6,0%,0.6,8.4,10,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN042,Smoothie,Beverages,1,29-12-2024,4.25,0%,4.25,4.25,10,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN047,Tomatoes,Vegetables,17,26-12-2024,0.8,0%,0.8,13.6,7,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN005,Bread,Bakery,15,24-12-2024,1.28,0%,1.28,19.2,5,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN050,Yogurt,Dairy,15,22-12-2024,1.35,10%,1.22,18.3,15,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-19,PN025,Ham,Meat,16,20-12-2024,2.99,25%,2.24,35.84,10,0,1,8.4,4.0,0.3,0.0,0.0
2024-12-18,PN022,Easter Eggs,Confectionery,16,18-12-2025,1.2,0%,1.2,19.2,365,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN024,Guinness,Beverages,20,16-07-2025,4.66,0%,4.66,93.2,210,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN004,Beef,Meat,2,08-01-2025,4.5,0%,4.5,9.0,21,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN015,Cheese,Dairy,3,08-01-2025,2.5,0%,2.5,7.5,21,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN042,Smoothie,Beverages,13,28-12-2024,4.25,0%,4.25,55.25,10,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN039,Red Wine,Beverages,12,18-12-2024,10.5,30%,7.35,88.2,1095,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-18,PN046,Strawberries,Fruits,14,18-12-2024,0.5,30%,0.35,4.9,4,0,1,12.8,4.9,4.0,0.0,0.0
2024-12-17,PN012,Canned Soup,Staples,7,17-12-2026,2.13,0%,2.13,14.91,730,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN006,Breakfast Cereals,Staples,6,17-12-2025,1.29,0%,1.29,7.74,365,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN034,Pasta,Staples,16,17-12-2025,1.45,0%,1.45,23.2,365,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN042,Smoothie,Beverages,4,27-12-2024,4.25,0%,4.25,17.0,10,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN009,Butter,Dairy,11,22-12-2024,3.99,0%,3.99,43.89,270,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN041,Salmon Fillets,Seafood,16,21-12-2024,4.25,0%,4.25,68.0,4,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN010,Butter Croissant,Bakery,19,20-12-2024,1.5,0%,1.5,28.5,3,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN031,Orange Juice,Beverages,14,18-12-2024,2.5,25%,1.88,26.32,14,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-17,PN037,Potatoes,Vegetables,14,18-12-2024,0.46,25%,0.35,4.9,20,0,1,13.1,8.6,3.2,0.0,0.0
2024-12-16,PN039,Red Wine,Beverages,17,16-12-2027,10.5,0%,10.5,178.5,1095,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-16,PN025,Ham,Meat,6,26-12-2024,2.99,0%,2.99,17.94,10,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-16,PN028,Milk,Dairy,19,23-12-2024,1.25,0%,1.25,23.75,7,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-16,PN009,Butter,Dairy,5,21-12-2024,3.99,0%,3.99,19.95,270,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-16,PN013,Carrots,Vegetables,6,18-12-2024,0.13,15%,0.11,0.66,14,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-16,PN037,Potatoes,Vegetables,3,18-12-2024,0.46,15%,0.39,1.17,20,0,1,10.9,9.2,1.3,0.0,0.0
2024-12-15,PN020,Croissants,Bakery,13,14-01-2025,0.48,0%,0.48,6.24,30,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN004,Beef,Meat,8,05-01-2025,4.5,0%,4.5,36.0,21,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN023,Eggs,Dairy,8,05-01-2025,0.21,0%,0.21,1.68,21,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN042,Smoothie,Beverages,3,25-12-2024,4.25,0%,4.25,12.75,10,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN011,Cabbage,Vegetables,14,18-12-2024,1.29,10%,1.16,16.24,10,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN026,Lamb,Meat,14,18-12-2024,5.0,0%,5.0,70.0,3,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN048,Turkey,Meat,1,17-12-2024,1.99,15%,1.69,1.69,14,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN005,Bread,Bakery,8,15-12-2024,1.28,30%,0.9,7.2,5,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-15,PN013,Carrots,Vegetables,15,15-12-2024,0.13,30%,0.09,1.35,14,0,1,11.7,10.8,0.3,0.0,0.0
2024-12-14,PN013,Carrots,Vegetables,11,28-12-2024,0.13,0%,0.13,1.43,14,0,1,11.1,3.9,0.1,0.0,0.0
2024-12-14,PN001,Apples,Fruits,8,24-12-2024,0.6,0%,0.6,4.8,10,0,1,11.1,3.9,0.1,0.0,0.0
2024-12-14,PN007,Brussels Sprouts,Vegetables,18,21-12-2024,1.07,0%,1.07,19.26,7,0,1,11.1,3.9,0.1,0.0,0.0
2024-12-14,PN004,Beef,Meat,18,16-12-2024,4.5,15%,3.83,68.94,21,0,1,11.1,3.9,0.1,0.0,0.0
2024-12-14,PN002,Bananas,Fruits,3,15-12-2024,0.28,25%,0.21,0.63,7,0,1,11.1,3.9,0.1,0.0,0.0
2024-12-13,PN012,Canned Soup,Staples,18,13-12-2026,2.13,0%,2.13,38.34,730,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN049,White Wine,Beverages,5,13-12-2026,10.5,0%,10.5,52.5,730,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN024,Guinness,Beverages,5,11-07-2025,4.66,0%,4.66,23.3,210,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN015,Cheese,Dairy,2,03-01-2025,2.5,0%,2.5,5.0,21,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN037,Potatoes,Vegetables,5,02-01-2025,0.46,0%,0.46,2.3,20,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN045,Spinach,Vegetables,19,23-12-2024,1.39,0%,1.39,26.41,10,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN038,Pumpkin,Vegetables,5,17-12-2024,3.45,0%,3.45,17.25,4,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN002,Bananas,Fruits,6,16-12-2024,0.28,10%,0.25,1.5,7,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-13,PN025,Ham,Meat,6,15-12-2024,2.99,15%,2.54,15.24,10,0,1,7.7,3.5,0.5,0.0,0.0
2024-12-12,PN008,Burger Patties,Meat,16,12-12-2025,3.0,0%,3.0,48.0,365,0,1,5.6,2.0,0.0,0.0,0.0
2024-12-12,PN024,Guinness,Beverages,17,10-07-2025,4.66,0%,4.66,79.22,210,0,1,5.6,2.0,0.0,0.0,0.0
2024-12-12,PN037,Potatoes,Vegetables,10,01-01-2025,0.46,0%,0.46,4.6,20,0,1,5.6,2.0,0.0,0.0,0.0
2024-12-12,PN032,Oranges,Fruits,14,26-12-2024,0.6,0%,0.6,8.4,14,0,1,5.6,2.0,0.0,0.0,0.0
2024-12-12,PN007,Brussels Sprouts,Vegetables,18,12-12-2024,1.07,30%,0.75,13.5,7,0,1,5.6,2.0,0.0,0.0,0.0
2024-12-11,PN039,Red Wine,Beverages,10,11-12-2027,10.5,0%,10.5,105.0,1095,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN013,Carrots,Vegetables,6,25-12-2024,0.13,0%,0.13,0.78,14,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN031,Orange Juice,Beverages,4,25-12-2024,2.5,0%,2.5,10.0,14,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN001,Apples,Fruits,11,21-12-2024,0.6,0%,0.6,6.6,10,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN011,Cabbage,Vegetables,2,21-12-2024,1.29,0%,1.29,2.58,10,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN025,Ham,Meat,6,21-12-2024,2.99,0%,2.99,17.94,10,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-11,PN038,Pumpkin,Vegetables,19,15-12-2024,3.45,0%,3.45,65.55,4,0,1,4.4,0.2,0.0,0.0,0.0
2024-12-10,PN043,Soft Drinks,Beverages,14,07-08-2025,3.4,0%,3.4,47.6,240,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN004,Beef,Meat,3,31-12-2024,4.5,0%,4.5,13.5,21,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN039,Red Wine,Beverages,5,28-12-2024,10.5,30%,7.35,36.75,1095,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN007,Brussels Sprouts,Vegetables,4,17-12-2024,1.07,0%,1.07,4.28,7,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN026,Lamb,Meat,16,13-12-2024,5.0,0%,5.0,80.0,3,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN016,Chicken Breast,Meat,4,10-12-2024,3.99,30%,2.79,11.16,5,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-10,PN037,Potatoes,Vegetables,8,10-12-2024,0.46,30%,0.32,2.56,20,0,1,3.7,-0.7,0.0,0.0,0.0
2024-12-09,PN039,Red Wine,Beverages,5,09-12-2027,10.5,0%,10.5,52.5,1095,0,1,5.6,0.3,0.0,0.0,0.0
2024-12-09,PN022,Easter Eggs,Confectionery,14,09-12-2025,1.2,0%,1.2,16.8,365,0,1,5.6,0.3,0.0,0.0,0.0
2024-12-09,PN022,Easter Eggs,Confectionery,17,09-12-2025,1.2,0%,1.2,20.4,365,0,1,5.6,0.3,0.0,0.0,0.0
