product,category,expiry_date,shelf_life,remaining_shelf_life,total_quantity,waste_product_quantity,event,date
Salmon Fillets,Seafood,03-02-2024,4,4,8,0,0,30-01-2024
Pepper,Spices,03-02-2024,14,3,3,0,0,31-01-2024
Cheese,Dairy,04-02-2024,21,21,5,0,0,14-01-2024
Mussels,Seafood,04-02-2024,15,15,3,0,0,20-01-2024
Salmon Fillets,Seafood,04-02-2024,4,4,2,0,0,31-01-2024
Pasta,Staples,04-02-2024,365,5,9,0,0,30-01-2024
Milk,Dairy,05-02-2024,7,7,1,0,0,29-01-2024
Beef,Meat,05-02-2024,21,2,18,0,0,03-02-2024
Breakfast Cereals,Staples,05-02-2024,365,2,9,0,0,03-02-2024
Pumpkin,Vegetables,05-02-2024,4,1,17,0,0,04-02-2024
Tomatoes,Vegetables,05-02-2024,7,7,6,0,0,29-01-2024
Smoothie,Beverages,06-02-2024,10,10,15,0,0,27-01-2024
Chocolates,Confectionery,06-02-2024,365,1,14,0,0,05-02-2024
Cheese,Dairy,06-02-2024,21,5,2,0,0,01-02-2024
Pineapple,Fruits,06-02-2024,7,7,20,0,0,30-01-2024
Turkey,Meat,06-02-2024,14,14,17,0,0,23-01-2024
Apples,Fruits,07-02-2024,10,1,6,0,0,06-02-2024
Chicken Breast,Meat,07-02-2024,5,5,8,0,0,02-02-2024
Ham,Meat,07-02-2024,10,1,7,0,0,06-02-2024
Salmon Fillets,Seafood,07-02-2024,4,1,12,0,0,06-02-2024
Cabbage,Vegetables,07-02-2024,10,5,2,0,0,02-02-2024
Carrots,Vegetables,07-02-2024,14,14,9,0,0,24-01-2024
Bread,Bakery,08-02-2024,5,5,19,0,0,03-02-2024
Croissants,Bakery,08-02-2024,30,30,19,0,0,09-01-2024
Red Wine,Beverages,08-02-2024,1095,5,10,0,0,03-02-2024
Strawberries,Fruits,08-02-2024,4,4,13,0,0,04-02-2024
Onions,Vegetables,08-02-2024,20,3,17,0,0,05-02-2024
Spinach,Vegetables,08-02-2024,10,10,19,0,0,29-01-2024
Butter Croissant,Bakery,09-02-2024,3,1,10,4,0,08-02-2024
Butter Croissant,Bakery,09-02-2024,3,1,10,6,0,08-02-2024
Butter Croissant,Bakery,09-02-2024,3,3,10,4,0,06-02-2024
Butter Croissant,Bakery,09-02-2024,3,3,10,6,0,06-02-2024
Cheese,Dairy,09-02-2024,21,2,1,0,0,07-02-2024
Milk,Dairy,09-02-2024,7,7,1,0,0,02-02-2024
Yogurt,Dairy,09-02-2024,15,15,5,0,0,25-01-2024
Burger Patties,Meat,09-02-2024,365,0,11,0,0,09-02-2024
Mussels,Seafood,09-02-2024,15,1,7,0,0,08-02-2024
Potatoes,Vegetables,09-02-2024,20,20,9,0,0,20-01-2024
Bread,Bakery,10-02-2024,5,5,86,10,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,7,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,6,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,13,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,12,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,19,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,7,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,7,0,05-02-2024
Bread,Bakery,10-02-2024,5,5,86,5,0,05-02-2024
Milk,Dairy,10-02-2024,7,7,9,0,0,03-02-2024
Milk,Dairy,10-02-2024,7,7,9,3,0,03-02-2024
Ham,Meat,10-02-2024,10,10,13,0,0,31-01-2024
Salmon Fillets,Seafood,10-02-2024,4,4,7,0,0,06-02-2024
Potatoes,Vegetables,10-02-2024,20,20,10,0,0,21-01-2024
Potatoes,Vegetables,10-02-2024,20,20,10,3,0,21-01-2024
Potatoes,Vegetables,10-02-2024,20,20,10,4,0,21-01-2024
Orange Juice,Beverages,11-02-2024,14,14,8,0,0,28-01-2024
Sparkling Wine,Beverages,11-02-2024,365,2,20,0,0,09-02-2024
Oranges,Fruits,11-02-2024,14,14,5,0,0,28-01-2024
Pineapple,Fruits,11-02-2024,7,7,19,0,0,04-02-2024
Salmon Fillets,Seafood,11-02-2024,4,0,19,0,0,11-02-2024
Carrots,Vegetables,11-02-2024,14,14,4,0,0,28-01-2024
Croissants,Bakery,12-02-2024,30,3,3,0,0,09-02-2024
Milk,Dairy,12-02-2024,7,7,151,18,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,9,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,13,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,16,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,15,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,10,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,15,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,19,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,8,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,18,0,05-02-2024
Milk,Dairy,12-02-2024,7,7,151,10,0,05-02-2024
Oysters,Seafood,12-02-2024,15,15,14,0,0,28-01-2024
Pepper,Spices,12-02-2024,14,5,14,0,0,07-02-2024
Tomatoes,Vegetables,12-02-2024,7,7,7,0,0,05-02-2024
Beef,Meat,13-02-2024,21,21,14,0,0,23-01-2024
Salmon Fillets,Seafood,13-02-2024,4,0,8,0,0,13-02-2024
Potatoes,Vegetables,13-02-2024,20,20,11,0,0,24-01-2024
Guinness,Beverages,14-02-2024,210,0,9,0,0,14-02-2024
Easter Eggs,Confectionery,14-02-2024,365,1,10,0,0,13-02-2024
Cheese,Dairy,14-02-2024,21,21,9,0,0,24-01-2024
Lamb,Meat,14-02-2024,3,3,10,0,0,11-02-2024
Turkey,Meat,14-02-2024,14,14,17,0,0,31-01-2024
Turkey,Meat,14-02-2024,14,14,17,5,0,31-01-2024
Mussels,Seafood,14-02-2024,15,15,20,0,0,30-01-2024
Breakfast Cereals,Staples,14-02-2024,365,0,3,0,0,14-02-2024
Lettuce,Vegetables,14-02-2024,5,5,14,0,0,09-02-2024
Chocolates,Confectionery,15-02-2024,365,5,19,0,0,10-02-2024
Butter,Dairy,15-02-2024,270,5,13,0,0,10-02-2024
Bananas,Fruits,15-02-2024,7,2,9,0,0,13-02-2024
Turkey,Meat,15-02-2024,14,3,3,0,0,12-02-2024
Mussels,Seafood,15-02-2024,15,15,17,0,0,31-01-2024
Cinnamon,Spices,15-02-2024,730,5,5,0,0,10-02-2024
Brussels Sprouts,Vegetables,15-02-2024,7,7,19,0,0,08-02-2024
Bread,Bakery,16-02-2024,5,5,8,0,0,11-02-2024
Croissants,Bakery,16-02-2024,30,30,15,0,0,17-01-2024
Lamb,Meat,16-02-2024,3,3,13,0,0,13-02-2024
Breakfast Cereals,Staples,16-02-2024,365,1,2,0,0,15-02-2024
Pasta,Staples,16-02-2024,365,0,3,0,0,16-02-2024
Orange Juice,Beverages,17-02-2024,14,14,10,0,0,03-02-2024
Butter,Dairy,17-02-2024,270,5,1,0,0,12-02-2024
Yogurt,Dairy,17-02-2024,15,15,12,0,0,02-02-2024
Yogurt,Dairy,17-02-2024,15,15,12,1,0,02-02-2024
Pepper,Spices,17-02-2024,14,14,4,0,0,03-02-2024
Brussels Sprouts,Vegetables,17-02-2024,7,7,4,0,0,10-02-2024
Tomatoes,Vegetables,17-02-2024,7,3,5,0,0,14-02-2024
Milk,Dairy,18-02-2024,7,7,14,0,0,11-02-2024
Yogurt,Dairy,18-02-2024,15,2,7,0,0,16-02-2024
Oranges,Fruits,18-02-2024,14,14,9,0,0,04-02-2024
Bread,Bakery,19-02-2024,5,0,17,0,0,19-02-2024
Easter Eggs,Confectionery,19-02-2024,365,0,15,0,0,19-02-2024
Butter,Dairy,19-02-2024,270,1,16,0,0,18-02-2024
Eggs,Dairy,19-02-2024,21,21,3,0,0,29-01-2024
Beef,Meat,19-02-2024,21,2,19,0,0,17-02-2024
Cabbage,Vegetables,19-02-2024,10,10,6,0,0,09-02-2024
Cucumber,Vegetables,19-02-2024,7,7,13,0,0,12-02-2024
Potatoes,Vegetables,19-02-2024,20,2,1,0,0,17-02-2024
Apples,Fruits,20-02-2024,10,10,4,0,0,10-02-2024
Apples,Fruits,20-02-2024,10,10,4,1,0,10-02-2024
Bananas,Fruits,20-02-2024,7,7,5,0,0,13-02-2024
Strawberries,Fruits,20-02-2024,4,4,12,0,0,16-02-2024
Bread,Bakery,21-02-2024,5,5,3,0,0,16-02-2024
Coffee,Beverages,21-02-2024,365,5,9,0,0,16-02-2024
Guinness,Beverages,21-02-2024,210,3,18,0,0,18-02-2024
Butter,Dairy,21-02-2024,270,5,9,0,0,16-02-2024
Salmon Fillets,Seafood,21-02-2024,4,1,6,0,0,20-02-2024
Butter Croissant,Bakery,22-02-2024,3,3,11,0,0,19-02-2024
Apples,Fruits,22-02-2024,10,10,7,0,0,12-02-2024
Oranges,Fruits,22-02-2024,14,14,20,0,0,08-02-2024
Breakfast Cereals,Staples,22-02-2024,365,3,16,0,0,19-02-2024
Bananas,Fruits,23-02-2024,7,7,18,0,0,16-02-2024
Turkey,Meat,23-02-2024,14,14,4,0,0,09-02-2024
Oysters,Seafood,23-02-2024,15,0,11,0,0,23-02-2024
Onions,Vegetables,23-02-2024,20,2,7,0,0,21-02-2024
Sparkling Wine,Beverages,24-02-2024,365,3,18,0,0,21-02-2024
Potatoes,Vegetables,24-02-2024,20,20,6,0,0,04-02-2024
Tomatoes,Vegetables,24-02-2024,7,0,11,0,0,24-02-2024
Bread,Bakery,25-02-2024,5,5,13,0,0,20-02-2024
Milk,Dairy,25-02-2024,7,7,13,0,0,18-02-2024
Beef,Meat,25-02-2024,21,21,8,0,0,04-02-2024
Turkey,Meat,25-02-2024,14,14,3,0,0,11-02-2024
Mussels,Seafood,25-02-2024,15,15,11,0,0,10-02-2024
Basmati Rice,Staples,25-02-2024,365,0,15,0,0,25-02-2024
Eggs,Dairy,26-02-2024,21,21,18,9,0,05-02-2024
Eggs,Dairy,26-02-2024,21,21,18,9,0,05-02-2024
Pineapple,Fruits,26-02-2024,7,3,20,0,0,23-02-2024
Turkey,Meat,26-02-2024,14,14,2,0,0,12-02-2024
Cinnamon,Spices,26-02-2024,730,3,6,0,0,23-02-2024
Lettuce,Vegetables,26-02-2024,5,5,17,0,0,21-02-2024
Butter Croissant,Bakery,27-02-2024,3,0,2,0,0,27-02-2024
Red Wine,Beverages,27-02-2024,1095,0,10,0,0,27-02-2024
Yogurt,Dairy,27-02-2024,15,2,2,0,0,25-02-2024
Apples,Fruits,27-02-2024,10,10,4,0,0,17-02-2024
Turkey,Meat,27-02-2024,14,5,10,0,0,22-02-2024
Carrots,Vegetables,27-02-2024,14,1,14,0,0,26-02-2024
Cucumber,Vegetables,27-02-2024,7,7,8,0,0,20-02-2024
Spinach,Vegetables,27-02-2024,10,10,8,0,0,17-02-2024
Tomatoes,Vegetables,27-02-2024,7,7,8,0,0,20-02-2024
Milk,Dairy,28-02-2024,7,2,17,0,0,26-02-2024
Bananas,Fruits,28-02-2024,7,7,12,0,0,21-02-2024
Lettuce,Vegetables,28-02-2024,5,5,11,0,0,23-02-2024
Onions,Vegetables,28-02-2024,20,20,20,0,0,08-02-2024
Pumpkin,Vegetables,28-02-2024,4,4,1,0,0,24-02-2024
Milk,Dairy,29-02-2024,7,0,14,0,0,29-02-2024
Oranges,Fruits,29-02-2024,14,14,2,0,0,15-02-2024
Ham,Meat,29-02-2024,10,10,2,0,0,19-02-2024
Oysters,Seafood,29-02-2024,15,15,6,0,0,14-02-2024
Pepper,Spices,29-02-2024,14,14,4,0,0,15-02-2024
Brussels Sprouts,Vegetables,29-02-2024,7,2,22,5,0,27-02-2024
Brussels Sprouts,Vegetables,29-02-2024,7,2,22,17,0,27-02-2024
Brussels Sprouts,Vegetables,29-02-2024,7,7,22,5,0,22-02-2024
Brussels Sprouts,Vegetables,29-02-2024,7,7,22,17,0,22-02-2024
Lettuce,Vegetables,29-02-2024,5,5,16,0,0,24-02-2024
Chicken Breast,Meat,01-03-2024,5,5,3,0,0,25-02-2024
Chicken Breast,Meat,01-03-2024,5,5,3,0,0,25-02-2024
Ham,Meat,01-03-2024,10,1,3,0,0,29-02-2024
Pepper,Spices,01-03-2024,14,14,5,0,0,16-02-2024
Cabbage,Vegetables,01-03-2024,10,10,18,0,0,20-02-2024
Pumpkin,Vegetables,01-03-2024,4,4,14,0,0,26-02-2024
Croissants,Bakery,02-03-2024,30,30,7,0,0,01-02-2024
Croissants,Bakery,02-03-2024,30,30,7,3,0,01-02-2024
Butter,Dairy,02-03-2024,270,5,4,2,0,26-02-2024
Butter,Dairy,02-03-2024,270,5,4,2,0,26-02-2024
Apples,Fruits,02-03-2024,10,1,9,0,0,01-03-2024
Strawberries,Fruits,02-03-2024,4,4,4,0,0,27-02-2024
Turkey,Meat,02-03-2024,14,3,7,0,0,28-02-2024
Butter Croissant,Bakery,03-03-2024,3,3,1,0,0,29-02-2024
Cheese,Dairy,03-03-2024,21,21,5,0,0,11-02-2024
Basmati Rice,Staples,03-03-2024,365,4,9,0,0,28-02-2024
Orange Juice,Beverages,04-03-2024,14,14,1,0,0,19-02-2024
Cheese,Dairy,04-03-2024,21,21,9,7,0,12-02-2024
Cheese,Dairy,04-03-2024,21,21,9,2,0,12-02-2024
Lettuce,Vegetables,04-03-2024,5,1,14,0,0,03-03-2024
Pumpkin,Vegetables,04-03-2024,4,1,23,10,0,03-03-2024
Pumpkin,Vegetables,04-03-2024,4,1,23,13,0,03-03-2024
Pumpkin,Vegetables,04-03-2024,4,4,23,10,0,29-02-2024
Pumpkin,Vegetables,04-03-2024,4,4,23,13,0,29-02-2024
Spinach,Vegetables,04-03-2024,10,3,3,0,0,01-03-2024
Tomatoes,Vegetables,04-03-2024,7,2,6,0,0,02-03-2024
Oranges,Fruits,05-03-2024,14,14,16,0,0,20-02-2024
Pineapple,Fruits,05-03-2024,7,7,6,0,0,27-02-2024
Lamb,Meat,05-03-2024,3,3,1,0,0,02-03-2024
Salami,Meat,05-03-2024,21,21,20,0,0,13-02-2024
Charcoal,Non-Food,05-03-2024,730,1,4,0,0,04-03-2024
Oysters,Seafood,05-03-2024,15,2,18,17,0,03-03-2024
Oysters,Seafood,05-03-2024,15,2,18,1,0,03-03-2024
Oysters,Seafood,05-03-2024,15,15,18,17,0,19-02-2024
Oysters,Seafood,05-03-2024,15,15,18,1,0,19-02-2024
Brussels Sprouts,Vegetables,05-03-2024,7,7,14,0,0,27-02-2024
Potatoes,Vegetables,05-03-2024,20,20,6,0,0,14-02-2024
Pumpkin,Vegetables,05-03-2024,4,4,2,0,0,01-03-2024
Tomatoes,Vegetables,05-03-2024,7,7,6,0,0,27-02-2024
Bread,Bakery,06-03-2024,5,0,20,0,0,06-03-2024
Chocolates,Confectionery,06-03-2024,365,3,15,0,0,03-03-2024
Butter,Dairy,06-03-2024,270,5,14,0,0,01-03-2024
