date,product_id,product,category,quantity_sold,expiry_date,unit_price,discount,discount_price,total,shelf_life,customer_type,payment,holiday,event
27-12-2024,PN049,White Wine,Beverages,7,27-12-2026,10.5,0%,10.5,73.5,730,Regular,Cash,0,1
26-12-2024,PN003,Basmati Rice,Staples,7,26-12-2025,1.59,0%,1.59,11.13,365,Regular,Cash,1,1
26-12-2024,PN015,Cheese,Dairy,8,28-12-2024,2.5,15%,2.13,17.04,21,Member,Card,1,1
26-12-2024,PN020,Croissants,Bakery,18,25-01-2025,0.48,0%,0.48,8.64,30,Regular,Cash,1,1
26-12-2024,PN028,Milk,Dairy,4,02-01-2025,1.25,0%,1.25,5,7,Regular,Card,1,1
26-12-2024,PN032,Oranges,Fruits,15,09-01-2025,0.6,0%,0.6,9,14,Member,Cash,1,1
26-12-2024,PN032,Oranges,Fruits,19,09-01-2025,0.6,0%,0.6,11.4,14,Regular,Card,1,1
26-12-2024,PN041,Salmon Fillets,Seafood,16,30-12-2024,4.25,0%,4.25,68,4,Regular,Cash,1,1
25-12-2024,PN003,Basmati Rice,Staples,19,25-12-2025,1.59,0%,1.59,30.21,365,Regular,Card,1,1
25-12-2024,PN005,Bread,Bakery,4,30-12-2024,1.28,0%,1.28,5.12,5,Member,Cash,1,1
25-12-2024,PN009,Butter,Dairy,1,30-12-2024,3.99,0%,3.99,3.99,270,Member,Cash,1,1
25-12-2024,PN014,Charcoal,Non-Food,14,25-12-2026,1.75,0%,1.75,24.5,730,Regular,Cash,1,1
25-12-2024,PN017,Chocolates,Confectionery,4,25-12-2025,1.75,0%,1.75,7,365,Member,Cash,1,1
25-12-2024,PN033,Oysters,Seafood,15,09-01-2025,3.99,0%,3.99,59.85,15,Regular,Card,1,1
25-12-2024,PN033,Oysters,Seafood,11,09-01-2025,3.99,0%,3.99,43.89,15,Regular,Cash,1,1
25-12-2024,PN025,Ham,Meat,18,04-01-2025,2.99,0%,2.99,53.82,10,Regular,Cash,1,1
25-12-2024,PN025,Ham,Meat,11,04-01-2025,2.99,0%,2.99,32.89,10,Regular,Cash,1,1
25-12-2024,PN025,Ham,Meat,14,04-01-2025,2.99,0%,2.99,41.86,10,Regular,Cash,1,1
25-12-2024,PN025,Ham,Meat,19,04-01-2025,2.99,0%,2.99,56.81,10,Member,Cash,1,1
25-12-2024,PN025,Ham,Meat,17,04-01-2025,2.99,0%,2.99,50.83,10,Regular,Cash,1,1
25-12-2024,PN048,Turkey,Meat,15,08-01-2025,1.99,0%,1.99,29.85,14,Regular,Cash,1,1
25-12-2024,PN048,Turkey,Meat,14,08-01-2025,1.99,0%,1.99,27.86,14,Member,Card,1,1
25-12-2024,PN048,Turkey,Meat,12,08-01-2025,1.99,0%,1.99,23.88,14,Member,Cash,1,1
25-12-2024,PN048,Turkey,Meat,5,08-01-2025,1.99,0%,1.99,9.95,14,Member,Cash,1,1
25-12-2024,PN048,Turkey,Meat,11,08-01-2025,1.99,0%,1.99,21.89,14,Regular,Cash,1,1
25-12-2024,PN048,Turkey,Meat,11,08-01-2025,1.99,0%,1.99,21.89,14,Member,Cash,1,1
24-12-2024,PN001,Apples,Fruits,17,03-01-2025,0.6,0%,0.6,10.2,10,Member,Card,0,1
24-12-2024,PN003,Basmati Rice,Staples,17,24-12-2025,1.59,0%,1.59,27.03,365,Member,Cash,0,1
24-12-2024,PN003,Basmati Rice,Staples,4,27-12-2024,1.59,10%,1.43,5.72,365,Regular,Card,0,1
24-12-2024,PN008,Burger Patties,Meat,1,24-12-2025,3,0%,3,3,365,Member,Card,0,1
24-12-2024,PN034,Pasta,Staples,1,24-12-2025,1.45,0%,1.45,1.45,365,Regular,Cash,0,1
24-12-2024,PN037,Potatoes,Vegetables,4,26-12-2024,0.46,15%,0.39,1.56,20,Regular,Card,0,1
24-12-2024,PN043,Soft Drinks,Beverages,13,21-08-2025,3.4,0%,3.4,44.2,240,Regular,Card,0,1
23-12-2024,PN007,Brussels Sprouts,Vegetables,11,30-12-2024,1.07,0%,1.07,11.77,7,Regular,Cash,0,1
23-12-2024,PN007,Brussels Sprouts,Vegetables,16,30-12-2024,1.07,0%,1.07,17.12,7,Regular,Card,0,1
23-12-2024,PN013,Carrots,Vegetables,18,25-12-2024,0.13,15%,0.11,1.98,14,Regular,Cash,0,1
23-12-2024,PN014,Charcoal,Non-Food,13,23-12-2026,1.75,0%,1.75,22.75,730,Regular,Card,0,1
23-12-2024,PN022,Easter Eggs,Confectionery,6,23-12-2025,1.2,0%,1.2,7.2,365,Member,Card,0,1
23-12-2024,PN024,Guinness,Beverages,4,21-07-2025,4.66,0%,4.66,18.64,210,Member,Card,0,1
23-12-2024,PN025,Ham,Meat,15,02-01-2025,2.99,0%,2.99,44.85,10,Regular,Cash,0,1
23-12-2024,PN025,Ham,Meat,10,02-01-2025,2.99,0%,2.99,29.9,10,Regular,Card,0,1
23-12-2024,PN032,Oranges,Fruits,18,06-01-2025,0.6,0%,0.6,10.8,14,Regular,Cash,0,1
23-12-2024,PN040,Salami,Meat,8,13-01-2025,1.6,0%,1.6,12.8,21,Member,Cash,0,1
23-12-2024,PN048,Turkey,Meat,5,06-01-2025,1.99,0%,1.99,9.95,14,Member,Card,0,1
22-12-2024,PN012,Canned Soup,Staples,20,22-12-2026,2.13,0%,2.13,42.6,730,Regular,Card,0,1
22-12-2024,PN014,Charcoal,Non-Food,6,22-12-2026,1.75,0%,1.75,10.5,730,Regular,Cash,0,1
22-12-2024,PN014,Charcoal,Non-Food,8,22-12-2026,1.75,0%,1.75,14,730,Member,Card,0,1
22-12-2024,PN015,Cheese,Dairy,6,25-12-2024,2.5,10%,2.25,13.5,21,Regular,Cash,0,1
22-12-2024,PN019,Coffee,Beverages,4,22-12-2025,3.3,0%,3.3,13.2,365,Member,Card,0,1
22-12-2024,PN026,Lamb,Meat,12,25-12-2024,5,0%,5,60,3,Regular,Card,0,1
22-12-2024,PN032,Oranges,Fruits,3,23-12-2024,0.6,25%,0.45,1.35,14,Member,Card,0,1
22-12-2024,PN037,Potatoes,Vegetables,10,11-01-2025,0.46,0%,0.46,4.6,20,Member,Card,0,1
22-12-2024,PN039,Red Wine,Beverages,10,22-12-2027,10.5,0%,10.5,105,1095,Member,Card,0,1
22-12-2024,PN046,Strawberries,Fruits,12,26-12-2024,0.5,0%,0.5,6,4,Regular,Card,0,1
22-12-2024,PN049,White Wine,Beverages,16,22-12-2026,10.5,0%,10.5,168,730,Member,Card,0,1
21-12-2024,PN010,Butter Croissant,Bakery,20,24-12-2024,1.5,0%,1.5,30,3,Member,Cash,0,1
21-12-2024,PN014,Charcoal,Non-Food,13,21-12-2026,1.75,0%,1.75,22.75,730,Member,Cash,0,1
21-12-2024,PN015,Cheese,Dairy,9,21-12-2024,2.5,30%,1.75,15.75,21,Member,Card,0,1
21-12-2024,PN023,Eggs,Dairy,6,23-12-2024,0.21,15%,0.18,1.08,21,Member,Card,0,1
21-12-2024,PN028,Milk,Dairy,14,22-12-2024,1.25,25%,0.94,13.16,7,Member,Cash,0,1
21-12-2024,PN031,Orange Juice,Beverages,6,04-01-2025,2.5,0%,2.5,15,14,Regular,Card,0,1
21-12-2024,PN041,Salmon Fillets,Seafood,13,22-12-2024,4.25,25%,3.19,41.47,4,Regular,Cash,0,1
21-12-2024,PN048,Turkey,Meat,7,04-01-2025,1.99,0%,1.99,13.93,14,Regular,Cash,0,1
20-12-2024,PN001,Apples,Fruits,10,25-12-2024,0.6,5%,0.57,5.7,10,Member,Cash,0,1
20-12-2024,PN011,Cabbage,Vegetables,16,30-12-2024,1.29,0%,1.29,20.64,10,Regular,Card,0,1
20-12-2024,PN034,Pasta,Staples,6,25-12-2024,1.45,5%,1.38,8.28,365,Regular,Card,0,1
20-12-2024,PN039,Red Wine,Beverages,3,20-12-2027,10.5,0%,10.5,31.5,1095,Member,Cash,0,1
20-12-2024,PN039,Red Wine,Beverages,18,20-12-2027,10.5,0%,10.5,189,1095,Member,Card,0,1
20-12-2024,PN043,Soft Drinks,Beverages,9,22-12-2024,3.4,15%,2.89,26.01,240,Regular,Cash,0,1
20-12-2024,PN045,Spinach,Vegetables,14,30-12-2024,1.39,0%,1.39,19.46,10,Regular,Cash,0,1
20-12-2024,PN048,Turkey,Meat,6,03-01-2025,1.99,0%,1.99,11.94,14,Member,Card,0,1
19-12-2024,PN001,Apples,Fruits,14,29-12-2024,0.6,0%,0.6,8.4,10,Regular,Cash,0,1
19-12-2024,PN005,Bread,Bakery,15,24-12-2024,1.28,0%,1.28,19.2,5,Member,Cash,0,1
19-12-2024,PN012,Canned Soup,Staples,16,19-12-2026,2.13,0%,2.13,34.08,730,Regular,Cash,0,1
19-12-2024,PN014,Charcoal,Non-Food,13,19-12-2026,1.75,0%,1.75,22.75,730,Regular,Cash,0,1
19-12-2024,PN023,Eggs,Dairy,3,09-01-2025,0.21,0%,0.21,0.63,21,Regular,Card,0,1
19-12-2024,PN025,Ham,Meat,16,20-12-2024,2.99,25%,2.24,35.84,10,Member,Cash,0,1
19-12-2024,PN034,Pasta,Staples,1,19-12-2025,1.45,0%,1.45,1.45,365,Member,Cash,0,1
19-12-2024,PN042,Smoothie,Beverages,1,29-12-2024,4.25,0%,4.25,4.25,10,Regular,Cash,0,1
19-12-2024,PN047,Tomatoes,Vegetables,17,26-12-2024,0.8,0%,0.8,13.6,7,Member,Card,0,1
19-12-2024,PN050,Yogurt,Dairy,15,22-12-2024,1.35,10%,1.22,18.3,15,Member,Cash,0,1
18-12-2024,PN004,Beef,Meat,2,08-01-2025,4.5,0%,4.5,9,21,Member,Card,0,1
18-12-2024,PN015,Cheese,Dairy,3,08-01-2025,2.5,0%,2.5,7.5,21,Regular,Cash,0,1
18-12-2024,PN022,Easter Eggs,Confectionery,16,18-12-2025,1.2,0%,1.2,19.2,365,Regular,Cash,0,1
18-12-2024,PN024,Guinness,Beverages,20,16-07-2025,4.66,0%,4.66,93.2,210,Regular,Card,0,1
18-12-2024,PN039,Red Wine,Beverages,12,18-12-2024,10.5,30%,7.35,88.2,1095,Member,Cash,0,1
18-12-2024,PN042,Smoothie,Beverages,13,28-12-2024,4.25,0%,4.25,55.25,10,Member,Cash,0,1
18-12-2024,PN046,Strawberries,Fruits,14,18-12-2024,0.5,30%,0.35,4.9,4,Regular,Cash,0,1
17-12-2024,PN006,Breakfast Cereals,Staples,6,17-12-2025,1.29,0%,1.29,7.74,365,Member,Card,0,1
17-12-2024,PN009,Butter,Dairy,11,22-12-2024,3.99,0%,3.99,43.89,270,Regular,Cash,0,1
17-12-2024,PN010,Butter Croissant,Bakery,19,20-12-2024,1.5,0%,1.5,28.5,3,Regular,Card,0,1
17-12-2024,PN012,Canned Soup,Staples,7,17-12-2026,2.13,0%,2.13,14.91,730,Regular,Cash,0,1
17-12-2024,PN031,Orange Juice,Beverages,14,18-12-2024,2.5,25%,1.88,26.32,14,Member,Cash,0,1
17-12-2024,PN034,Pasta,Staples,16,17-12-2025,1.45,0%,1.45,23.2,365,Member,Card,0,1
17-12-2024,PN037,Potatoes,Vegetables,14,18-12-2024,0.46,25%,0.35,4.9,20,Member,Cash,0,1
17-12-2024,PN041,Salmon Fillets,Seafood,16,21-12-2024,4.25,0%,4.25,68,4,Member,Cash,0,1
17-12-2024,PN042,Smoothie,Beverages,4,27-12-2024,4.25,0%,4.25,17,10,Regular,Cash,0,1
16-12-2024,PN009,Butter,Dairy,5,21-12-2024,3.99,0%,3.99,19.95,270,Member,Cash,0,1
16-12-2024,PN013,Carrots,Vegetables,6,18-12-2024,0.13,15%,0.11,0.66,14,Member,Cash,0,1
16-12-2024,PN025,Ham,Meat,6,26-12-2024,2.99,0%,2.99,17.94,10,Regular,Cash,0,1
16-12-2024,PN028,Milk,Dairy,19,23-12-2024,1.25,0%,1.25,23.75,7,Regular,Cash,0,1
16-12-2024,PN037,Potatoes,Vegetables,3,18-12-2024,0.46,15%,0.39,1.17,20,Member,Cash,0,1
16-12-2024,PN039,Red Wine,Beverages,17,16-12-2027,10.5,0%,10.5,178.5,1095,Member,Cash,0,1
15-12-2024,PN004,Beef,Meat,8,05-01-2025,4.5,0%,4.5,36,21,Regular,Cash,0,1
15-12-2024,PN005,Bread,Bakery,8,15-12-2024,1.28,30%,0.9,7.2,5,Regular,Cash,0,1
15-12-2024,PN011,Cabbage,Vegetables,14,18-12-2024,1.29,10%,1.16,16.24,10,Regular,Cash,0,1
15-12-2024,PN013,Carrots,Vegetables,15,15-12-2024,0.13,30%,0.09,1.35,14,Regular,Card,0,1
15-12-2024,PN020,Croissants,Bakery,13,14-01-2025,0.48,0%,0.48,6.24,30,Regular,Card,0,1
15-12-2024,PN023,Eggs,Dairy,8,05-01-2025,0.21,0%,0.21,1.68,21,Regular,Card,0,1
15-12-2024,PN026,Lamb,Meat,14,18-12-2024,5,0%,5,70,3,Regular,Card,0,1
15-12-2024,PN042,Smoothie,Beverages,3,25-12-2024,4.25,0%,4.25,12.75,10,Regular,Card,0,1
15-12-2024,PN048,Turkey,Meat,1,17-12-2024,1.99,15%,1.69,1.69,14,Member,Card,0,1
14-12-2024,PN001,Apples,Fruits,8,24-12-2024,0.6,0%,0.6,4.8,10,Regular,Card,0,1
14-12-2024,PN002,Bananas,Fruits,3,15-12-2024,0.28,25%,0.21,0.63,7,Regular,Cash,0,1
14-12-2024,PN004,Beef,Meat,18,16-12-2024,4.5,15%,3.83,68.94,21,Member,Card,0,1
14-12-2024,PN007,Brussels Sprouts,Vegetables,18,21-12-2024,1.07,0%,1.07,19.26,7,Member,Card,0,1
14-12-2024,PN013,Carrots,Vegetables,11,28-12-2024,0.13,0%,0.13,1.43,14,Member,Cash,0,1
13-12-2024,PN002,Bananas,Fruits,6,16-12-2024,0.28,10%,0.25,1.5,7,Regular,Cash,0,1
13-12-2024,PN012,Canned Soup,Staples,18,13-12-2026,2.13,0%,2.13,38.34,730,Regular,Card,0,1
13-12-2024,PN015,Cheese,Dairy,2,03-01-2025,2.5,0%,2.5,5,21,Member,Card,0,1
13-12-2024,PN024,Guinness,Beverages,5,11-07-2025,4.66,0%,4.66,23.3,210,Regular,Card,0,1
13-12-2024,PN025,Ham,Meat,6,15-12-2024,2.99,15%,2.54,15.24,10,Regular,Card,0,1
13-12-2024,PN037,Potatoes,Vegetables,5,02-01-2025,0.46,0%,0.46,2.3,20,Regular,Card,0,1
13-12-2024,PN038,Pumpkin,Vegetables,5,17-12-2024,3.45,0%,3.45,17.25,4,Regular,Cash,0,1
13-12-2024,PN045,Spinach,Vegetables,19,23-12-2024,1.39,0%,1.39,26.41,10,Regular,Card,0,1
13-12-2024,PN049,White Wine,Beverages,5,13-12-2026,10.5,0%,10.5,52.5,730,Member,Cash,0,1
12-12-2024,PN007,Brussels Sprouts,Vegetables,18,12-12-2024,1.07,30%,0.75,13.5,7,Member,Cash,0,1
12-12-2024,PN008,Burger Patties,Meat,16,12-12-2025,3,0%,3,48,365,Member,Cash,0,1
12-12-2024,PN024,Guinness,Beverages,17,10-07-2025,4.66,0%,4.66,79.22,210,Regular,Cash,0,1
12-12-2024,PN032,Oranges,Fruits,14,26-12-2024,0.6,0%,0.6,8.4,14,Regular,Card,0,1
12-12-2024,PN037,Potatoes,Vegetables,10,01-01-2025,0.46,0%,0.46,4.6,20,Regular,Cash,0,1
11-12-2024,PN001,Apples,Fruits,11,21-12-2024,0.6,0%,0.6,6.6,10,Member,Cash,0,1
11-12-2024,PN011,Cabbage,Vegetables,2,21-12-2024,1.29,0%,1.29,2.58,10,Member,Card,0,1
11-12-2024,PN013,Carrots,Vegetables,6,25-12-2024,0.13,0%,0.13,0.78,14,Member,Cash,0,1
11-12-2024,PN025,Ham,Meat,6,21-12-2024,2.99,0%,2.99,17.94,10,Regular,Cash,0,1
11-12-2024,PN031,Orange Juice,Beverages,4,25-12-2024,2.5,0%,2.5,10,14,Member,Card,0,1
11-12-2024,PN038,Pumpkin,Vegetables,19,15-12-2024,3.45,0%,3.45,65.55,4,Member,Cash,0,1
11-12-2024,PN039,Red Wine,Beverages,10,11-12-2027,10.5,0%,10.5,105,1095,Regular,Cash,0,1
10-12-2024,PN004,Beef,Meat,3,31-12-2024,4.5,0%,4.5,13.5,21,Regular,Card,0,1
10-12-2024,PN007,Brussels Sprouts,Vegetables,4,17-12-2024,1.07,0%,1.07,4.28,7,Regular,Card,0,1
10-12-2024,PN016,Chicken Breast,Meat,4,10-12-2024,3.99,30%,2.79,11.16,5,Member,Cash,0,1
10-12-2024,PN026,Lamb,Meat,16,13-12-2024,5,0%,5,80,3,Regular,Card,0,1
10-12-2024,PN037,Potatoes,Vegetables,8,10-12-2024,0.46,30%,0.32,2.56,20,Member,Card,0,1
10-12-2024,PN039,Red Wine,Beverages,5,28-12-2024,10.5,30%,7.35,36.75,1095,Member,Cash,0,1
10-12-2024,PN043,Soft Drinks,Beverages,14,07-08-2025,3.4,0%,3.4,47.6,240,Regular,Card,0,1
09-12-2024,PN015,Cheese,Dairy,9,30-12-2024,2.5,0%,2.5,22.5,21,Member,Cash,0,1
09-12-2024,PN022,Easter Eggs,Confectionery,14,09-12-2025,1.2,0%,1.2,16.8,365,Regular,Card,0,1
09-12-2024,PN022,Easter Eggs,Confectionery,17,09-12-2025,1.2,0%,1.2,20.4,365,Regular,Cash,0,1
09-12-2024,PN039,Red Wine,Beverages,5,09-12-2027,10.5,0%,10.5,52.5,1095,Regular,Cash,0,1
08-12-2024,PN005,Bread,Bakery,13,08-12-2024,1.28,30%,0.9,11.7,5,Regular,Cash,0,1
08-12-2024,PN018,Cinnamon,Spices,17,08-12-2026,1,0%,1,17,730,Regular,Card,0,1
08-12-2024,PN018,Cinnamon,Spices,8,08-12-2026,1,0%,1,8,730,Regular,Cash,0,1
08-12-2024,PN018,Cinnamon,Spices,4,11-12-2024,1,10%,0.9,3.6,730,Regular,Cash,0,1
08-12-2024,PN034,Pasta,Staples,15,08-12-2025,1.45,0%,1.45,21.75,365,Regular,Cash,0,1
08-12-2024,PN048,Turkey,Meat,3,22-12-2024,1.99,0%,1.99,5.97,14,Regular,Card,0,1
07-12-2024,PN001,Apples,Fruits,6,17-12-2024,0.6,0%,0.6,3.6,10,Regular,Cash,0,1
07-12-2024,PN005,Bread,Bakery,13,07-12-2024,1.28,30%,0.9,11.7,5,Regular,Card,0,1
07-12-2024,PN007,Brussels Sprouts,Vegetables,10,14-12-2024,1.07,0%,1.07,10.7,7,Member,Cash,0,1
07-12-2024,PN009,Butter,Dairy,20,12-12-2024,3.99,0%,3.99,79.8,270,Member,Card,0,1
07-12-2024,PN016,Chicken Breast,Meat,11,12-12-2024,3.99,0%,3.99,43.89,5,Member,Card,0,1
07-12-2024,PN017,Chocolates,Confectionery,5,07-12-2025,1.75,0%,1.75,8.75,365,Member,Cash,0,1
07-12-2024,PN034,Pasta,Staples,16,07-12-2025,1.45,0%,1.45,23.2,365,Member,Card,0,1
07-12-2024,PN049,White Wine,Beverages,19,07-12-2026,10.5,0%,10.5,199.5,730,Regular,Card,0,1
06-12-2024,PN005,Bread,Bakery,3,11-12-2024,1.28,0%,1.28,3.84,5,Member,Cash,0,1
06-12-2024,PN008,Burger Patties,Meat,12,06-12-2025,3,0%,3,36,365,Regular,Card,0,1
06-12-2024,PN011,Cabbage,Vegetables,13,16-12-2024,1.29,0%,1.29,16.77,10,Member,Cash,0,1
06-12-2024,PN013,Carrots,Vegetables,5,20-12-2024,0.13,0%,0.13,0.65,14,Member,Card,0,1
06-12-2024,PN018,Cinnamon,Spices,4,06-12-2026,1,0%,1,4,730,Regular,Card,0,1
06-12-2024,PN020,Croissants,Bakery,13,06-12-2024,0.48,30%,0.34,4.42,30,Member,Cash,0,1
06-12-2024,PN044,Sparkling Wine,Beverages,9,09-12-2024,4.5,10%,4.05,36.45,365,Regular,Cash,0,1
06-12-2024,PN046,Strawberries,Fruits,11,10-12-2024,0.5,0%,0.5,5.5,4,Regular,Card,0,1
05-12-2024,PN001,Apples,Fruits,10,15-12-2024,0.6,0%,0.6,6,10,Regular,Card,0,1
05-12-2024,PN001,Apples,Fruits,1,10-12-2024,0.6,5%,0.57,0.57,10,Member,Cash,0,1
05-12-2024,PN002,Bananas,Fruits,19,12-12-2024,0.28,0%,0.28,5.32,7,Member,Card,0,1
05-12-2024,PN006,Breakfast Cereals,Staples,9,05-12-2025,1.29,0%,1.29,11.61,365,Regular,Cash,0,1
05-12-2024,PN007,Brussels Sprouts,Vegetables,15,12-12-2024,1.07,0%,1.07,16.05,7,Regular,Cash,0,1
05-12-2024,PN014,Charcoal,Non-Food,10,07-12-2024,1.75,15%,1.49,14.9,730,Regular,Card,0,1
05-12-2024,PN020,Croissants,Bakery,4,04-01-2025,0.48,0%,0.48,1.92,30,Regular,Card,0,1
05-12-2024,PN027,Lettuce,Vegetables,3,10-12-2024,1.15,0%,1.15,3.45,5,Regular,Cash,0,1
05-12-2024,PN034,Pasta,Staples,1,05-12-2025,1.45,0%,1.45,1.45,365,Regular,Card,0,1
05-12-2024,PN034,Pasta,Staples,1,10-12-2024,1.45,5%,1.38,1.38,365,Member,Cash,0,1
05-12-2024,PN048,Turkey,Meat,12,19-12-2024,1.99,0%,1.99,23.88,14,Regular,Card,0,1
